mano,mano_str,prob_grande,prob_chica,tiene_pares,tiene_juego,tipo_pares,valor_juego,valor_punto,W_pares,W_juego,W_punto,EV_pos1,EV_pos2,EV_pos3,EV_pos4,diff_pos1_pos4,diff_pos1_pos2
"[6, 6, 12, 12]","[6,6,12,12]",0.8442,0.0045,True,True,duples,32,32,3,2.857,1.0,7.165722635352699,7.099588632925514,7.099588632925514,7.03345463049833,0.13226800485436918,0.06613400242718548
"[12, 12, 12, 12]","[12,12,12,12]",1.0,0.0,True,True,duples,40,40,3,2.714,1.0,6.712247289276257,6.6499043378199465,6.6499043378199465,6.587561386363635,0.1246859029126215,0.0623429514563103
"[1, 12, 12, 12]","[1,12,12,12]",0.9915,0.142,True,True,medias,31,31,2,3.0,1.0,6.7007982516411895,6.537705894929415,6.537705894929415,6.374613538217641,0.32618471342354827,0.16309235671177458
"[11, 11, 12, 12]","[11,11,12,12]",0.9825,0.0,True,True,duples,40,40,3,2.714,1.0,6.684175218306734,6.621666264908677,6.621666264908677,6.559157311510618,0.12501790679611613,0.06250895339805762
"[10, 10, 12, 12]","[10,10,12,12]",0.9237,0.0,True,True,duples,40,40,3,2.714,1.0,6.614862243795455,6.552039731174096,6.552039731174096,6.489217218552737,0.1256450252427186,0.0628225126213593
"[7, 7, 12, 12]","[7,7,12,12]",0.875,0.0008,True,True,duples,34,34,3,2.143,1.0,6.416872851626701,6.3521771380344685,6.3521771380344685,6.287481424442236,0.1293914271844656,0.0646957135922328
"[6, 6, 11, 11]","[6,6,11,11]",0.095,0.0044,True,True,duples,32,32,3,2.857,1.0,6.386042239987583,6.3204421914438935,6.3204421914438935,6.254842142900205,0.1312000970873788,0.06560004854368984
"[6, 6, 10, 10]","[6,6,10,10]",0.0234,0.0032,True,True,duples,32,32,3,2.857,1.0,6.255840840137108,6.18956953528274,6.18956953528274,6.12329823042837,0.13254260970873855,0.06627130485436883
"[1, 1, 12, 12]","[1,1,12,12]",0.7665,0.766,True,False,duples,0,22,3,0.0,1.0,6.132278488652949,6.132278488652949,6.132278488652949,6.132278488652949,0.0,0.0
"[1, 11, 11, 11]","[1,11,11,11]",0.1029,0.1582,True,True,medias,31,31,2,3.0,1.0,5.814146182050614,5.6497390972959565,5.6497390972959565,5.485332012541299,0.3288141695093145,0.16440708475465726
"[10, 10, 11, 11]","[10,10,11,11]",0.1007,0.0,True,True,duples,40,40,3,2.714,1.0,5.7678571294525,5.705329731394247,5.705329731394247,5.642802333335995,0.12505479611650472,0.06252739805825236
"[11, 11, 11, 11]","[11,11,11,11]",0.1011,0.0,True,True,duples,40,40,3,2.714,1.0,5.759748728552552,5.695930204280707,5.695930204280707,5.632111680008863,0.12763704854368907,0.06381852427184498
"[7, 7, 7, 12]","[7,7,7,12]",0.2981,0.0002,True,True,medias,31,31,2,3.0,1.0,5.757570320329835,5.584722009050456,5.584722009050456,5.411873697771076,0.34569662255875855,0.17284831127937927
"[1, 10, 10, 10]","[1,10,10,10]",0.0242,0.1633,True,True,medias,31,31,2,3.0,1.0,5.697817711730493,5.5354780033674835,5.5354780033674835,5.373138295004474,0.32467941672601874,0.16233970836300937
"[10, 10, 10, 10]","[10,10,10,10]",0.0263,0.0,True,True,duples,40,40,3,2.714,1.0,5.642524333676029,5.58058716474399,5.58058716474399,5.518649995811952,0.12387433786407698,0.06193716893203849
"[7, 7, 11, 11]","[7,7,11,11]",0.0993,0.0003,True,True,duples,34,34,3,2.143,1.0,5.6136156701142825,5.549606548755059,5.549606548755059,5.485597427395836,0.1280182427184462,0.06400912135922354
"[1, 11, 12, 12]","[1,11,12,12]",0.9461,0.1473,True,True,pares,31,31,1,3.0,1.0,5.600850672218822,5.4271048762147736,5.4271048762147736,5.253359080210725,0.3474915920080974,0.1737457960040487
"[1, 10, 12, 12]","[1,10,12,12]",0.8966,0.1541,True,True,pares,31,31,1,3.0,1.0,5.558021668322736,5.381372457391972,5.381372457391972,5.204723246461207,0.3532984218615285,0.1766492109307638
"[7, 7, 7, 11]","[7,7,7,11]",0.0648,0.0005,True,True,medias,31,31,2,3.0,1.0,5.529612797813048,5.354457398030464,5.354457398030464,5.17930199824788,0.3503107995651682,0.1751553997825841
"[4, 4, 12, 12]","[4,4,12,12]",0.7803,0.0991,True,False,duples,0,28,3,0.0,1.0,5.526514634449622,5.526514634449622,5.526514634449622,5.526514634449622,0.0,0.0
"[5, 5, 12, 12]","[5,5,12,12]",0.8113,0.0236,True,False,duples,0,30,3,0.0,1.0,5.5053437367237095,5.5053437367237095,5.5053437367237095,5.5053437367237095,0.0,0.0
"[10, 12, 12, 12]","[10,12,12,12]",0.998,0.0,True,True,medias,40,40,2,2.714,1.0,5.488280258862026,5.407427302262708,5.407427302262708,5.32657434566339,0.16170591319863536,0.08085295659931724
"[7, 7, 7, 10]","[7,7,7,10]",0.0195,0.0003,True,True,medias,31,31,2,3.0,1.0,5.486747414065172,5.309862974285586,5.309862974285586,5.132978534506002,0.35376887955917,0.17688443977958546
"[7, 7, 10, 10]","[7,7,10,10]",0.024,0.0003,True,True,duples,34,34,3,2.143,1.0,5.474757596379938,5.409172433758579,5.409172433758579,5.34358727113722,0.1311703252427181,0.0655851626213586
"[11, 12, 12, 12]","[11,12,12,12]",0.9999,0.0,True,True,medias,40,40,2,2.714,1.0,5.473410451236072,5.391248100079645,5.391248100079645,5.309085748923218,0.1643247023128538,0.0821623511564269
"[1, 1, 11, 11]","[1,1,11,11]",0.1006,0.7853,True,False,duples,0,22,3,0.0,1.0,5.454145303087284,5.454145303087284,5.454145303087284,5.454145303087284,0.0,0.0
"[4, 7, 12, 12]","[4,7,12,12]",0.8575,0.0427,True,True,pares,31,31,1,3.0,1.0,5.408747370126386,5.221628353745235,5.221628353745235,5.0345093373640815,0.37423803276230494,0.18711901638115158
"[7, 12, 12, 12]","[7,12,12,12]",0.9975,0.0,True,True,medias,37,37,2,2.571,1.0,5.386192470048062,5.324926068623615,5.324926068623615,5.263659667199167,0.12253280284889545,0.06126640142444728
"[4, 12, 12, 12]","[4,12,12,12]",0.9928,0.0364,True,True,medias,34,34,2,2.143,1.0,5.376436700114162,5.294511634898808,5.294511634898808,5.212586569683454,0.16385013043070806,0.08192506521535403
"[5, 6, 12, 12]","[5,6,12,12]",0.8455,0.0145,True,True,pares,31,31,1,3.0,1.0,5.37328980680243,5.191361291602071,5.191361291602071,5.00943277640171,0.3638570304007196,0.1819285152003589
"[6, 12, 12, 12]","[6,12,12,12]",0.9961,0.0004,True,True,medias,36,36,2,2.429,1.0,5.362524420346195,5.302856406517803,5.302856406517803,5.243188392689412,0.1193360276567832,0.05966801382839204
"[1, 1, 10, 10]","[1,1,10,10]",0.0248,0.8097,True,False,duples,0,22,3,0.0,1.0,5.344231569950535,5.344231569950535,5.344231569950535,5.344231569950535,0.0,0.0
"[5, 12, 12, 12]","[5,12,12,12]",0.9936,0.0065,True,True,medias,35,35,2,2.286,1.0,5.342913133291896,5.285356742532065,5.285356742532065,5.227800351772235,0.11511278151966131,0.057556390759830656
