mano,prob_grande,prob_chica,prob_pares,prob_juego,n_apariciones
"[4, 7, 10, 11]",0.013852318259874069,0.33646250715512305,0.31700057240984547,0.60870062965083,8735
"[4, 7, 10, 12]",0.19143148588915335,0.03405871018927802,0.3018247761532359,0.6072197665193245,17646
"[4, 7, 11, 11]",0.021016311166875783,0.2870138017565872,0.553952321204517,0.60633626097867,3188
"[4, 7, 11, 12]",0.38542327889664724,0.004558832015696232,0.31230884644237983,0.5994575566968665,17329
"[4, 7, 12, 12]",0.7501658484808279,0.0,0.7586572906992172,0.6097916943080801,15074
"[4, 7, 7, 10]",0.0006563833278634722,0.6130620282244831,0.5070561207745323,0.4660321627830653,3047
"[4, 7, 7, 11]",0.006754583467352846,0.3914441942746864,0.5017690575747829,0.4509488581537472,3109
"[4, 7, 7, 12]",0.107638335193749,0.0833997767501196,0.5222452559400415,0.4610110030298198,6271
"[4, 7, 7, 7]",0.0,0.8365384615384616,0.8673076923076923,0.3596153846153846,520
"[5, 10, 10, 10]",0.001763668430335097,0.5696649029982364,0.873015873015873,0.8677248677248677,567
"[5, 10, 10, 11]",0.014986376021798364,0.2997275204359673,0.5422343324250681,0.8591280653950953,3670
"[5, 10, 10, 12]",0.23927195429786102,0.022851069483193834,0.5703467516939019,0.8566493955094991,7527
"[5, 10, 11, 11]",0.020065970313358987,0.28257284222100054,0.576690489279824,0.8556899395272127,3638
"[5, 10, 11, 12]",0.4609099162715626,0.0028750126097044286,0.30732371633208916,0.8559467366084939,19826
"[5, 10, 12, 12]",0.8318712600941149,0.0,0.7712775228025329,0.8565038052634637,17213
"[5, 11, 11, 11]",0.01391304347826087,0.3026086956521739,0.8608695652173913,0.8626086956521739,575
"[5, 11, 11, 12]",0.5098634294385432,0.0006897503103876397,0.6100151745068285,0.8534970340736653,7249
"[5, 11, 12, 12]",0.9173099415204679,0.0,0.7678947368421053,0.857719298245614,17100
"[5, 12, 12, 12]",0.9885383288143949,0.0,0.9285186098102046,0.8578999260537343,8114
"[5, 5, 10, 10]",0.0,0.6050632911392405,0.9383966244725739,0.5172995780590718,1185
"[5, 5, 10, 11]",0.009794628751974723,0.3541864139020537,0.4562401263823065,0.5292259083728278,3165
"[5, 5, 10, 12]",0.15007056609691077,0.053943860749568764,0.4727928493021797,0.5330092519993728,6377
"[5, 5, 11, 11]",0.014222222222222223,0.27555555555555555,0.9493333333333334,0.5466666666666666,1125
"[5, 5, 11, 12]",0.31011660888748815,0.011818468326504884,0.4725811534825087,0.5310431768042861,6346
"[5, 5, 12, 12]",0.6723950795947902,0.0,0.9835383502170767,0.5359985528219972,5528
"[5, 5, 5, 10]",0.0,0.6967871485943775,0.8433734939759037,0.3534136546184739,498
"[5, 5, 5, 11]",0.0018248175182481751,0.4927007299270073,0.8467153284671532,0.35766423357664234,548
